condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1733,262,5,0.9975,0.737343,0.9815,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1862,136,2,0.999,0.863864,0.924,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,text,ciq,42,2000,1654,322,24,0.988,0.674089,0.929,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,text,icq,42,2000,1989,8,3,0.9985,0.991988,0.9945,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,text,ciq,42,2000,1812,151,37,0.9815,0.846154,0.858,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,text,icq,42,2000,1894,101,5,0.9975,0.898747,0.914,0
none,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,text_only,text,icq,42,2000,1987,0,13,0.9935,1.0,0.9945,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,image_only,image,icq,42,2000,1914,0,86,0.957,1.0,0.957,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,2000,0,0,1.0,1.0,0.9965,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1984,16,0,1.0,0.984,0.972,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,image,ciq,42,2000,1991,9,0,1.0,0.991,0.9935,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,image,icq,42,2000,1494,506,0,1.0,0.494,0.9955,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,image,ciq,42,2000,1992,8,0,1.0,0.992,0.995,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,image,icq,42,2000,1960,40,0,1.0,0.96,0.9825,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1636,351,13,0.9935,0.646704,0.952,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1675,322,3,0.9985,0.677516,0.863,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,text,ciq,42,2000,1444,530,26,0.987,0.463019,0.915,0
