model,dataset,intervention,layer_idx,layer_depth,split,seed,arm,target_modality,n,correct,misled,neither,p_valid,selectivity
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,43,intervention,image,100,61,33,6,0.94,0.297872
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,43,intervention,text,100,17,75,8,0.92,-0.630435
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,44,intervention,image,100,61,33,6,0.94,0.297872
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,18,0.375,val,44,intervention,text,100,13,81,6,0.94,-0.723404
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,42,intervention,image,100,56,40,4,0.96,0.166667
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,42,intervention,text,100,0,100,0,1.0,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,43,intervention,image,100,55,42,3,0.97,0.134021
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,43,intervention,text,100,0,99,1,0.99,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,44,intervention,image,100,54,42,4,0.96,0.125
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,24,0.5,val,44,intervention,text,100,0,100,0,1.0,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,42,baseline,image,100,100,0,0,1.0,1.0
